,Unnamed: 0,created_at,hashtags,favorite_count,id,reweet_id,retweet_screen_name,lang,place,possibly_sensitive,retweet_count,text,user_screen_name,user_followers_count,user_location,user_name,user_screen_name.1,user_time_zone,text_cl,subkeywords,relevant_subkwords
749,2930,Tue Apr 07 13:30:21 +0000 2020,COVID19 pandemic BehaviouralScience,2,1.24751706982812E+018,,,en,,False,1,"Perspective: @sarah_kaplan shared her thoughts along with other behavioural scientists about what we’re doing now in the face of the COVID crisis.
#COVID19 #pandemic #BehaviouralScience

https://t.co/ygwkXyHuab",GenderEconomy,3842,"Toronto, Ontario",Institute for Gender and the Economy,GenderEconomy,,"perspective: @sarah_kaplan shared her thoughts along with other behavioural scientists about what we’re doing now in the face of the covid crisis.
#covid19 #pandemic #behaviouralscience

https://t.co/ygwkxyhuab","['behavioural scientists', 'behaviouralscience', 'behavioural scientist', 'pandemic', 'covid']","['behavioural scientists', 'behaviouralscience']"
755,2968,Fri Apr 03 06:54:27 +0000 2020,coronavirus COVIDー19 covid19,2,1.24596788545913E+018,,,en,,False,3,The role of the Nudge Unit and ‘herd immunity’ - this quote is bang on. https://t.co/m6ntXk6Jed #coronavirus #COVIDー19 #covid19 https://t.co/Ee0cqomYYs,Obey___,3854,"Mega City One, Scotland",Judge Grumpy,Obey___,,the role of the nudge unit and ‘herd immunity’ - this quote is bang on. https://t.co/m6ntxk6jed #coronavirus #covidー19 #covid19 https://t.co/ee0cqomyys,"['nudge unit', 'nudge', 'corona', 'covid', 'herd immunity']","['nudge unit', 'herd immunity']"
756,2974,Mon Apr 27 05:39:20 +0000 2020,covid19,0,1.25464629238037E+018,,,en,,False,0,"If you want to know why. Macron delayed any real action on #covid19 here is the answer.
Oh and the facts that he didn't believe it was worth trying to stop the virus from coming.

Nudge theory is a poor substitute for hard science

https://t.co/57mPyc9720",GreenWalker92,546,jebloquelestrollsLand,Anduin #HumanRights4All 🌻,GreenWalker92,,"if you want to know why. macron delayed any real action on #covid19 here is the answer.
oh and the facts that he didn't believe it was worth trying to stop the virus from coming.

nudge theory is a poor substitute for hard science

https://t.co/57mpyc9720","['nudge', 'nudge theory', 'covid']",['nudge theory']
761,3003,Wed Apr 08 16:07:09 +0000 2020,COVID19,3,1.24791891827198E+018,,,en,,False,0,Large and very interesting list of papers and resources about the behavioural sciences and #COVID19 https://t.co/jpn0JB52HS,sanderhermsen,1818,Nijmegen,Sander Hermsen,sanderhermsen,,large and very interesting list of papers and resources about the behavioural sciences and #covid19 https://t.co/jpn0jb52hs,"['behavioural science', 'behavioural sciences', 'covid']",['behavioural sciences']
765,3029,Wed Mar 18 04:04:44 +0000 2020,choicearchitecture Tbt,0,1.24012696817727E+018,,,en,,False,0,"Supermarkets are terrific canvases to ideate, prototype and execute effective visual prompts via #choicearchitecture

#Tbt a Nudge that @nm1706 executed at the Achuaan supermarket in Portugal.

https://t.co/RV2Ig0b1B8 https://t.co/L78prXJJs1",NudgingforKids,747,"New York, NY",NudgingforKids,NudgingforKids,,"supermarkets are terrific canvases to ideate, prototype and execute effective visual prompts via #choicearchitecture

#tbt a nudge that @nm1706 executed at the achuaan supermarket in portugal.

https://t.co/rv2ig0b1b8 https://t.co/l78prxjjs1","['nudge', 'choicearchitecture', 'choicearchitect']","['nudge', 'choicearchitecture']"
772,3057,Tue May 26 17:35:19 +0000 2020,,8,1.26533572004824E+018,,,en,,False,3,"On May 27th, psychologists will celebrate each other and the field’s value to society.  Talking at this event will be  @DrMaysaAkbar @MicheleJGelfand @SLyonsPadilla and @SusanMichie of @UCLBehaveChange 

https://t.co/JNkh0V0506 https://t.co/mEQWw88sef",MidsHealthPsych,2551,,Midlands Health Psychology Network (MHPN),MidsHealthPsych,,"on may 27th, psychologists will celebrate each other and the field’s value to society.  talking at this event will be  @drmaysaakbar @michelejgelfand @slyonspadilla and @susanmichie of @uclbehavechange 

https://t.co/jnkh0v0506 https://t.co/meqww88sef","['michie', 'psychologists', 'psychologist']","['michie', 'psychologists']"
782,3083,Wed Apr 15 09:24:40 +0000 2020,,6,1.25035434149335E+018,,,en,,False,3,It's worth reminding ourselves of the origins of the 'Nudge Unit'. This is the kind of crude behavioural science so admired by Cummings. https://t.co/SWbIb6gvfC https://t.co/EX0DW1kVBm,JulianPetley,1064,Brunel University,Julian Petley,JulianPetley,,it's worth reminding ourselves of the origins of the 'nudge unit'. this is the kind of crude behavioural science so admired by cummings. https://t.co/swbib6gvfc https://t.co/ex0dw1kvbm,"['nudge unit', 'behavioural science', 'nudge']","['nudge unit', 'behavioural science']"
787,3104,Thu Mar 26 07:44:16 +0000 2020,,2,1.24308132003045E+018,,,en,,False,1,"Between the UK Nudge unit and the Counter-Disinformation unit, what chance does the truth stand? https://t.co/vvtYM47Vgx",financialeyes,2231,United Kingdom,Financial Eyes,financialeyes,,"between the uk nudge unit and the counter-disinformation unit, what chance does the truth stand? https://t.co/vvtym47vgx","['nudge unit', 'nudge']",['nudge unit']
795,3132,Fri Mar 13 17:26:53 +0000 2020,COVID19,2,1.23851689821357E+018,,,en,,,1,"There's a rumour that Boris Johnson is relying on behavioural economics more than science to combat the spread of #COVID19. As an early practitioner of nudge theory &amp; somebody who's used it to advise brands, politicians &amp; healthcare businesses I can't help but think oh shit.",Andy_Wheatley,1587,Cotswolds - London - Singapore,Andy Wheatley,Andy_Wheatley,,"there's a rumour that boris johnson is relying on behavioural economics more than science to combat the spread of #covid19. as an early practitioner of nudge theory &amp; somebody who's used it to advise brands, politicians &amp; healthcare businesses i can't help but think oh shit.","['behavioural economics', 'nudge', 'nudge theory', 'covid']","['behavioural economics', 'nudge theory']"
821,3273,Sat Mar 14 13:46:57 +0000 2020,COVID,1,1.23882393643304E+018,,,en,,False,0,"This is David Halpern.  His research &amp; his team (business’) work in nudge theory is excellent and interesting - but HAS NEVER BEEN TESTED IN A CRISIS. This is who is dictating national Policy on #COVID-19.  This is who is suggesting...

https://t.co/JsiePiacB7",TikaTakaUnited,770,,#ManchesterUnited,TikaTakaUnited,,"this is david halpern.  his research &amp; his team (business’) work in nudge theory is excellent and interesting - but has never been tested in a crisis. this is who is dictating national policy on #covid-19.  this is who is suggesting...

https://t.co/jsiepiacb7","['halpern', 'nudge', 'nudge theory', 'covid']","['halpern', 'nudge theory']"
827,3291,Thu Mar 26 22:30:07 +0000 2020,,0,1.2433042488316E+018,,,en,,False,0,Wow. It was the Nudge unit behind promotion of non-peer reviewed bogus scientific model. Someone to hold them to account? Anyone? https://t.co/HucxfNCVQy,milenacontent,102,,milena,milenacontent,,wow. it was the nudge unit behind promotion of non-peer reviewed bogus scientific model. someone to hold them to account? anyone? https://t.co/hucxfncvqy,"['nudge unit', 'nudge']",['nudge unit']
838,3321,Wed Apr 15 09:42:55 +0000 2020,coronavirus,1,1.2503589363744E+018,,,en,,False,1,"Did university lobbying cause the government u-turn on handling #coronavirus? The @MailOnline highlights how @bbk_orgpsych's Dr Caroline Kamau discredited nudge theory two days before it was abandoned by government.

https://t.co/DuK2si0f2u",BirkbeckBEI,3371,London,Birkbeck’s Business School,BirkbeckBEI,,"did university lobbying cause the government u-turn on handling #coronavirus? the @mailonline highlights how @bbk_orgpsych's dr caroline kamau discredited nudge theory two days before it was abandoned by government.

https://t.co/duk2si0f2u","['nudge', 'nudge theory', 'corona']",['nudge theory']
845,3350,Wed Jun 10 09:36:59 +0000 2020,Covid19 nudgetheory comms,8,1.27065116157874E+018,,,en,,False,2,"Given the stage we’re at in the journey through the #Covid19 crisis, it’s likely you’re going to need to introduce #nudgetheory into your #comms. People will be feeling tired and overwhelmed. They need to focus on incremental steps, small changes that help them feel empowered. https://t.co/U1wTc0wEyy",IanPBuckingham,2869,UK,✍🏼 Ian P Buckingham 🤔,IanPBuckingham,,"given the stage we’re at in the journey through the #covid19 crisis, it’s likely you’re going to need to introduce #nudgetheory into your #comms. people will be feeling tired and overwhelmed. they need to focus on incremental steps, small changes that help them feel empowered. https://t.co/u1wtc0weyy","['nudge', 'nudgetheory', 'covid']",['nudgetheory']
849,3365,Thu Mar 12 21:39:52 +0000 2020,COVID19,3,1.23821817269784E+018,,,en,,False,3,"@Channel4News Perhaps less of this stoicism would be needed if @BorisJohnson had decided to entrust a genuine scientific expert with drawing up the strategy against #COVID19  Instead he chose psychologist David Halpern, creator of “nudge theory” https://t.co/JVyMbuUdSz Heaven help GB",zmkc,925,Hungary,Zoe,zmkc,,"@channel4news perhaps less of this stoicism would be needed if @borisjohnson had decided to entrust a genuine scientific expert with drawing up the strategy against #covid19  instead he chose psychologist david halpern, creator of “nudge theory” https://t.co/jvymbuudsz heaven help gb","['halpern', 'psychologist', 'nudge', 'nudge theory', 'covid']","['halpern', 'psychologist', 'nudge theory']"
851,3379,Mon Apr 20 16:37:07 +0000 2020,dailybriefing COVID19 CoronaVirus R4Today WATO C4News,0,1.25227511300276E+018,,,en,,False,0,"Nudge Theory.  Innit.  #dailybriefing 

#COVID19 #CoronaVirus #R4Today #WATO @SkyNews #C4News https://t.co/e9mXw9N8mO",LaoTzu5,302,"England, UK",🎉 2020 is here! Rejoice 👌🏾😀,LaoTzu5,,"nudge theory.  innit.  #dailybriefing 

#covid19 #coronavirus #r4today #wato @skynews #c4news https://t.co/e9mxw9n8mo","['nudge', 'nudge theory', 'corona', 'covid']",['nudge theory']
859,3401,Thu Mar 26 12:51:36 +0000 2020,behaviouraleconomics covid19,1,1.24315866299621E+018,,,en,,False,0,"Genesis Analytics is working with the National Orientation Agency in Nigeria and the Ministry of Health in Kenya to provide daily nudges on how, through social media, to avoid COVID-19. Learn more about the campaign: https://t.co/FyXSl6kcmu #behaviouraleconomics #covid19 https://t.co/6yiXce3Gb2",GenesisEconomic,505,"Lagos, London, Joburg, Nairobi",Genesis Analytics,GenesisEconomic,,"genesis analytics is working with the national orientation agency in nigeria and the ministry of health in kenya to provide daily nudges on how, through social media, to avoid covid-19. learn more about the campaign: https://t.co/fyxsl6kcmu #behaviouraleconomics #covid19 https://t.co/6yixce3gb2","['behaviouraleconomics', 'nudges', 'nudge', 'covid']","['behaviouraleconomics', 'nudges']"
864,3421,Sun May 10 11:04:55 +0000 2020,COVID19,0,1.2594392699884E+018,,,en,,False,0,"Nudge Theory: Why It Doesn’t “Work” During a Pandemic | Psychology Today
#COVID19  https://t.co/JkS3eCKsYq",JFClaude_MH,2309,,😷J.-F. Claude @ 🏡,JFClaude_MH,,"nudge theory: why it doesn’t “work” during a pandemic | psychology today
#covid19  https://t.co/jks3ecksyq","['psychology', 'nudge', 'nudge theory', 'pandemic', 'covid']","['psychology', 'nudge theory']"
869,3443,Fri Mar 13 23:29:18 +0000 2020,coronavirus coronovirusuk,0,1.23860810411329E+018,,,en,,,0,@BorisJohnson The WHO and leading scientific experts agree that the UK is not doing nearly enough in the face of the pandemic. Relying on Nudge theory and herd immunity is incorrect. Social distancing must be implemented now #coronavirus #coronovirusuk,olga_ostrovsky,5,London,olga ostrovsky,olga_ostrovsky,,@borisjohnson the who and leading scientific experts agree that the uk is not doing nearly enough in the face of the pandemic. relying on nudge theory and herd immunity is incorrect. social distancing must be implemented now #coronavirus #coronovirusuk,"['nudge', 'nudge theory', 'pandemic', 'corona', 'herd immunity']","['nudge theory', 'herd immunity']"
870,3448,Wed May 20 07:22:55 +0000 2020,nudging COVID19,1,1.26300727871168E+018,,,en,,False,0,"Interesting preprint from Yale/Kent on nudge theory: ""The effectiveness of moral messages on public health behavioral intentions during the COVID-19 pandemic"": https://t.co/f8oSdITZP3  [not peer reviewed yet] #nudging #COVID19",leyladewitz,316,"Berlin & Potsdam, Germany",Leyla Dewitz,leyladewitz,,"interesting preprint from yale/kent on nudge theory: ""the effectiveness of moral messages on public health behavioral intentions during the covid-19 pandemic"": https://t.co/f8osditzp3  [not peer reviewed yet] #nudging #covid19","['nudge', 'nudging', 'nudge theory', 'pandemic', 'covid']","['nudging', 'nudge theory']"
879,3476,Fri Mar 13 13:33:07 +0000 2020,coronavirus UK,0,1.2384580662675E+018,,,en,,False,0,Why is the government relying on nudge theory to fight #coronavirus? https://t.co/P7Peywtc6p #UK,bear_risa,1192,"Oregon, USA",Shōnin Risa Bear ☸️,bear_risa,,why is the government relying on nudge theory to fight #coronavirus? https://t.co/p7peywtc6p #uk,"['nudge', 'nudge theory', 'corona']",['nudge theory']
883,3482,Tue Apr 14 05:10:14 +0000 2020,COVID19 Nudge,0,1.24992792587447E+018,,,en,,,0,"A 'Nudge Unit' sounds far more sexy than it actually is.

In reality it's an unelected bald man called Dominic suddenly telling you to stay indoors to save your life (having previously been cool with you staying out and risking it).

#COVID19 
#Nudge",VernonBriscoe,590,,Vernon Briscoe #3.5%,VernonBriscoe,,"a 'nudge unit' sounds far more sexy than it actually is.

in reality it's an unelected bald man called dominic suddenly telling you to stay indoors to save your life (having previously been cool with you staying out and risking it).

#covid19 
#nudge","['nudge unit', 'nudge', 'covid']","['nudge unit', 'nudge']"
884,3484,Sun Apr 26 23:34:08 +0000 2020,Coronavirus,0,1.25455438522223E+018,,,en,,False,0,Insightful piece on Nudge Theory and the #Coronavirus. https://t.co/tzRyVMCvDL,BenitoCao,701,,Benito Cao,BenitoCao,,insightful piece on nudge theory and the #coronavirus. https://t.co/tzryvmcvdl,"['nudge', 'nudge theory', 'corona']",['nudge theory']
886,3491,Mon Apr 27 20:22:19 +0000 2020,CoronaVirus DavidHalpern,2,1.25486849979892E+018,,,en,,False,2,The Governments response to #CoronaVirus is ‘steered’ by #DavidHalpern of the Behavioural Insights Team (BIT) who also worked on a project that made ‘sanctioning’ disabled people more effective. https://t.co/g6OAWZqa5D,PRFilms1,1315,London UK,P R Films,PRFilms1,,the governments response to #coronavirus is ‘steered’ by #davidhalpern of the behavioural insights team (bit) who also worked on a project that made ‘sanctioning’ disabled people more effective. https://t.co/g6oawzqa5d,"['halpern', 'behavioural insights team', 'behavioural insight', 'behavioural insights', 'corona']","['halpern', 'behavioural insights team']"
887,3496,Sun May 10 19:17:52 +0000 2020,COVID19 COVIDIOTS,3,1.25956332349598E+018,,,en,,,0,"#COVID19 #COVIDIOTS To be clear @BorisJohnson the message was totally unclear. If you want to be Churchill then grow a pair, make &amp; communicate clear decisions, stop nudge theory and cease devolvement of decisions to individuals and employers.",branmasterflash,36,Upper Batty,Branny,branmasterflash,,"#covid19 #covidiots to be clear @borisjohnson the message was totally unclear. if you want to be churchill then grow a pair, make &amp; communicate clear decisions, stop nudge theory and cease devolvement of decisions to individuals and employers.","['nudge', 'nudge theory', 'covid']",['nudge theory']
902,3547,Fri Mar 13 08:57:59 +0000 2020,coronavirus socialconditioning Covid_19 selfisolating,2,1.23838882749401E+018,,,en,,,1,Our pandemic response is being engineered by Behavioural Insights Team (the so-called “Nudge Unit”) and Boris Johnson’s chief adviser Dominic Cummings.  My response is immmense worry #coronavirus #socialconditioning #Covid_19 #selfisolating,TheotherColette,225,Manchester,Colette aka HangryBoots,TheotherColette,,our pandemic response is being engineered by behavioural insights team (the so-called “nudge unit”) and boris johnson’s chief adviser dominic cummings.  my response is immmense worry #coronavirus #socialconditioning #covid_19 #selfisolating,"['nudge unit', 'behavioural insights team', 'behavioural insight', 'behavioural insights', 'nudge', 'pandemic', 'corona', 'covid']","['nudge unit', 'behavioural insights team']"
908,3570,Fri Mar 13 17:15:33 +0000 2020,COVID_19uk COVID19,0,1.23851404349897E+018,,,en,,False,1,"Yes @guardiannews Tony Yates is asking the right questions regarding  the Nudge Unit. The Unit (and David Halpern) makes significant profits from the sale of its services. #COVID_19uk
#COVID19

https://t.co/OAfkJWofXE https://t.co/IBtkWbu6to",YeomanRuth,698,Oxford,Ruth Yeoman #FBPE,YeomanRuth,,"yes @guardiannews tony yates is asking the right questions regarding  the nudge unit. the unit (and david halpern) makes significant profits from the sale of its services. #covid_19uk
#covid19

https://t.co/oafkjwofxe https://t.co/ibtkwbu6to","['halpern', 'nudge unit', 'nudge', 'covid']","['halpern', 'nudge unit']"
922,3614,Tue May 12 11:41:54 +0000 2020,LordSainsbury BehaviouralInsightsTeam BorisJohnson coronavirus BillGates Rothschild COVID19,2,1.26017335137035E+018,,,en,,False,3,"#LordSainsbury Jewish Philanthropist Gives Away £1Bn
https://t.co/CwZMMz9W0B #BehaviouralInsightsTeam #BorisJohnson #coronavirus #BillGates #Rothschild #COVID19",TornadoNewsLink,4807,"Londonderry, Northern Ireland",TornadoNewsLinker,TornadoNewsLink,,"#lordsainsbury jewish philanthropist gives away £1bn
https://t.co/cwzmmz9w0b #behaviouralinsightsteam #borisjohnson #coronavirus #billgates #rothschild #covid19","['behaviouralinsightsteam', 'behaviouralinsight', 'behaviouralinsights', 'corona', 'covid']",['behaviouralinsightsteam']
923,3615,Wed Mar 11 16:44:14 +0000 2020,coronavirus,0,1.23778139003444E+018,,,en,,False,0,Wonder if the British Nudge Unit agrees? #coronavirus https://t.co/fiXKksfCqA,treesey,1078,,teresa smith,treesey,,wonder if the british nudge unit agrees? #coronavirus https://t.co/fixkksfcqa,"['nudge unit', 'nudge', 'corona']",['nudge unit']
927,3624,Fri Apr 17 10:17:10 +0000 2020,,43,1.25109232997444E+018,,,en,,False,33,"I want to know 
How much influence has 
1. the pseudo-scientific Nudge Unit or its founder David Halpern and/or
2. Dominic Cummings 
had on the Government’s botched response to Coronavirus crisis

Perhaps @bbclaurak could inform the public? https://t.co/n0Z7v4HVw1",TomLondon6,64367,London,Tom London,TomLondon6,,"i want to know 
how much influence has 
1. the pseudo-scientific nudge unit or its founder david halpern and/or
2. dominic cummings 
had on the government’s botched response to coronavirus crisis

perhaps @bbclaurak could inform the public? https://t.co/n0z7v4hvw1","['halpern', 'nudge unit', 'nudge', 'corona']","['halpern', 'nudge unit']"
932,3653,Sun Apr 12 09:10:37 +0000 2020,,0,1.24926364392722E+018,1.24906272535706E+018,DavidKiernan4,en,,,1,"RT @DavidKiernan4: got to be asked just how deep the tory-murdoch ties go. this is beyond political leanings, this looks nudge unit guided.",leighkellymckay,274,"Ballygally, Antrim Coast",Leigh McKay,leighkellymckay,,"rt @davidkiernan4: got to be asked just how deep the tory-murdoch ties go. this is beyond political leanings, this looks nudge unit guided.","['nudge unit', 'nudge']",['nudge unit']
936,3661,Mon May 18 22:02:08 +0000 2020,behaviouralinsights,51,1.26250376637016E+018,,,en,,False,27,"This is an absolutely fantastic behaviour change tool: simple, easy to understand, widely applicable. Bravo! #behaviouralinsights https://t.co/S5iHgqo7R6",ASPphysician,14181,,Andrew Morris,ASPphysician,,"this is an absolutely fantastic behaviour change tool: simple, easy to understand, widely applicable. bravo! #behaviouralinsights https://t.co/s5ihgqo7r6","['behaviouralinsight', 'behaviouralinsights', 'behaviour change']","['behaviouralinsights', 'behaviour change']"
937,3662,Fri May 29 03:56:05 +0000 2020,COVID19 leadership leadtheway,5,1.26621671951884E+018,,,en,,False,0,"Build a mentor-connect initiative, help employees gain access through various collaborative channels, and use nudge theory to guide talent development amid the #COVID19 crisis. #leadership #leadtheway

https://t.co/c2PoAIZQ8l",PeopleMatters2,20427,India,People Matters,PeopleMatters2,,"build a mentor-connect initiative, help employees gain access through various collaborative channels, and use nudge theory to guide talent development amid the #covid19 crisis. #leadership #leadtheway

https://t.co/c2poaizq8l","['nudge', 'nudge theory', 'covid']",['nudge theory']
944,3691,Fri Mar 13 12:48:38 +0000 2020,NudgeUnit,6,1.23844687495841E+018,,,en,,False,5,Will be interested to hear why we are putting so much weight on views of #NudgeUnit and the ‘fatigue’we are predicted to display in terms of social distancing which is clearly in our self-interest @WMLibDems @BenJAJ20 @PershoreDan https://t.co/evWhMccqWh,BeverleyNielsen,2681,Worcestershire,Cllr Beverley Nielsen,BeverleyNielsen,,will be interested to hear why we are putting so much weight on views of #nudgeunit and the ‘fatigue’we are predicted to display in terms of social distancing which is clearly in our self-interest @wmlibdems @benjaj20 @pershoredan https://t.co/evwhmccqwh,"['nudgeunit', 'nudge']",['nudgeunit']
945,3693,Sun Mar 22 10:22:06 +0000 2020,coronavirus,0,1.2416714862152E+018,,,en,,False,0,"@mrjamesob Here we see Dr David Halpern of the Behavioural Insights Team speaking on the record to the BBC on 11th March.

Halpern sits, or did then, on SAGE, the key committee organising the response to the #coronavirus.

https://t.co/HemuIMC1e5",MarkHazard2020,68,Transworld Consortium.,Mark Hazard,MarkHazard2020,,"@mrjamesob here we see dr david halpern of the behavioural insights team speaking on the record to the bbc on 11th march.

halpern sits, or did then, on sage, the key committee organising the response to the #coronavirus.

https://t.co/hemuimc1e5","['halpern', 'behavioural insights team', 'behavioural insight', 'behavioural insights', 'corona']","['halpern', 'behavioural insights team']"
960,3754,Fri Apr 03 16:03:15 +0000 2020,wellingtonpolice NewZealand covid19,2,1.24610599419685E+018,,,en,,False,1,"Smart, fun &amp; clever way to get people to remember the 2m rule.  Thanks Ed Bernacki for sharin@EdBernackic example of nudge theory, as you point out, in practice.  #wellingtonpolice #NewZealand #covid19 Justin Trudeau Steven Guilbeault Tim Tierney https://t.co/CPMEkMFZXL",ChrystiaC,612,canada,Chrystia Chudczak,ChrystiaC,,"smart, fun &amp; clever way to get people to remember the 2m rule.  thanks ed bernacki for sharin@edbernackic example of nudge theory, as you point out, in practice.  #wellingtonpolice #newzealand #covid19 justin trudeau steven guilbeault tim tierney https://t.co/cpmekmfzxl","['nudge', 'nudge theory', 'covid']",['nudge theory']
974,3800,Fri Mar 13 23:30:16 +0000 2020,coronavirus coronovirusuk,2,1.23860834641812E+018,,,en,,,0,@PHE_uk The WHO and leading scientific experts agree that the UK is not doing nearly enough in the face of the pandemic. Relying on Nudge theory and herd immunity is incorrect. Social distancing must be implemented. #coronavirus #coronovirusuk,olga_ostrovsky,5,London,olga ostrovsky,olga_ostrovsky,,@phe_uk the who and leading scientific experts agree that the uk is not doing nearly enough in the face of the pandemic. relying on nudge theory and herd immunity is incorrect. social distancing must be implemented. #coronavirus #coronovirusuk,"['nudge', 'nudge theory', 'pandemic', 'corona', 'herd immunity']","['nudge theory', 'herd immunity']"
998,3877,Sun Apr 05 19:01:44 +0000 2020,,3,1.24687568638561E+018,,,en,,False,0,This made me happy (not sure whether it complies with nudge theory though). @The_Arn https://t.co/QiSauLztya,HarryBrighouse1,476,"Wisconsin, USA",Harry Brighouse,HarryBrighouse1,,this made me happy (not sure whether it complies with nudge theory though). @the_arn https://t.co/qisaulztya,"['nudge', 'nudge theory']",['nudge theory']
1003,3891,Wed May 13 11:36:46 +0000 2020,CommonPurpose NHS Rainbow GloboHomo BorisJohnson Rothschild BillGates coronavirus BehaviouralInsightsTeam Marxism,28,1.26053444815364E+018,,,en,,False,40,It only appears to work on the sheeple as can be seen every Thursday night. They clap like seals for the #CommonPurpose infested #NHS. Whilst helping to promote the #Rainbow #GloboHomo agenda. #BorisJohnson #Rothschild #BillGates #coronavirus #BehaviouralInsightsTeam #Marxism https://t.co/uJsW99cAtP,TornadoNewsLink,4807,"Londonderry, Northern Ireland",TornadoNewsLinker,TornadoNewsLink,,it only appears to work on the sheeple as can be seen every thursday night. they clap like seals for the #commonpurpose infested #nhs. whilst helping to promote the #rainbow #globohomo agenda. #borisjohnson #rothschild #billgates #coronavirus #behaviouralinsightsteam #marxism https://t.co/ujsw99catp,"['behaviouralinsightsteam', 'behaviouralinsight', 'behaviouralinsights', 'corona']",['behaviouralinsightsteam']
1017,3949,Fri Mar 13 13:43:28 +0000 2020,CoronaVirus IR35,1,1.23846067117357E+018,,,en,,,1,Behavioural Insights Team  is working with nudge unit  on #CoronaVirus after helping out Tax avoidance #IR35 !,JustSome2000,227,,Wolfy Logn,JustSome2000,,behavioural insights team  is working with nudge unit  on #coronavirus after helping out tax avoidance #ir35 !,"['nudge unit', 'behavioural insights team', 'behavioural insight', 'behavioural insights', 'nudge', 'corona']","['nudge unit', 'behavioural insights team']"
1033,4008,Mon Mar 09 18:07:27 +0000 2020,,0,1.23707755547746E+018,,,en,,False,0,"Whether at home, in organisations or society at large, we need to give people ""the capability, opportunity and motivation to enact key behaviours"" - excellent , immediately applicable work by behavioural scientists @SusanMichie et al. https://t.co/PYTbHgqNSl",SCayrafourcq,220,Antwerp ,Sarah Cayrafourcq,SCayrafourcq,,"whether at home, in organisations or society at large, we need to give people ""the capability, opportunity and motivation to enact key behaviours"" - excellent , immediately applicable work by behavioural scientists @susanmichie et al. https://t.co/pytbhgqnsl","['michie', 'behavioural scientists', 'behavioural scientist']","['michie', 'behavioural scientists']"
1034,4012,Fri Mar 06 07:54:21 +0000 2020,coronavirus,2,1.2358360992027E+018,,,en,,,0,"So great to hear David Halpern of @B_I_Tweets on @BBCr4today about using behavioural insights &amp; tests of proposed interventions to fight #coronavirus, eg, get us all to wash our hands more / properly. 👏👏
This seems as much a behavioural challenge as anything.",carolinefiennes,6425,,Caroline Fiennes,carolinefiennes,,"so great to hear david halpern of @b_i_tweets on @bbcr4today about using behavioural insights &amp; tests of proposed interventions to fight #coronavirus, eg, get us all to wash our hands more / properly. 👏👏
this seems as much a behavioural challenge as anything.","['halpern', 'behavioural insight', 'behavioural insights', 'corona']","['halpern', 'behavioural insights']"
1035,4017,Sat Mar 21 10:11:10 +0000 2020,Coronavirus Herd_Immunity BumblingBoris Eugenics NudgeUnit Cummings,6,1.24130634688198E+018,,,en,,,5,"@SimonDalling 😩😩😩
The answer I was really looking for is - if #Coronavirus cases and deaths increase exponentially in a very short time - by promoting #Herd_Immunity for so long #BumblingBoris has screwed us all over &amp; many more people will die unecessarily. #Eugenics #NudgeUnit #Cummings",Angie_RejoinEU,26113,London,#3.5% #FBPE #FBR #ResistanceIsNotFutile 😉,Angie_RejoinEU,,"@simondalling 😩😩😩
the answer i was really looking for is - if #coronavirus cases and deaths increase exponentially in a very short time - by promoting #herd_immunity for so long #bumblingboris has screwed us all over &amp; many more people will die unecessarily. #eugenics #nudgeunit #cummings","['nudgeunit', 'nudge', 'corona']",['nudgeunit']
1045,4051,Wed Mar 11 12:24:25 +0000 2020,coronavirus,0,1.23771600135096E+018,,,en,,False,0,Looking forward to tv and radio interviews with the Nudge Unit about their decisions #coronavirus https://t.co/XBMZ5mdl6Z,treesey,1078,,teresa smith,treesey,,looking forward to tv and radio interviews with the nudge unit about their decisions #coronavirus https://t.co/xbmz5mdl6z,"['nudge unit', 'nudge', 'corona']",['nudge unit']
1053,4081,Sat Apr 11 20:39:53 +0000 2020,Covid19UK NHSheroes,0,1.24907471642767E+018,,,en,,False,0,"''Cocooning'' said Dr David Halpern Head of the Behavioural Insights Team as they launched Herd Immunity. Murderous plan?! #Covid19UK #NHSheroes 
https://t.co/8CFxsqo3af",magwitch5151,2286,The Uncanny Valley,Captain Trips,magwitch5151,,"''cocooning'' said dr david halpern head of the behavioural insights team as they launched herd immunity. murderous plan?! #covid19uk #nhsheroes 
https://t.co/8cfxsqo3af","['halpern', 'behavioural insights team', 'behavioural insight', 'behavioural insights', 'covid', 'herd immunity']","['halpern', 'behavioural insights team']"
1054,4084,Mon Apr 27 12:29:02 +0000 2020,illustration comment lockdown art design covid19 coronavirus virus pandemic nudgetheory government boris money influence salesman 10downingstreet dominiccummings editorial,2,1.254749393066E+018,,,en,,False,0,#illustration for this weekend’s @ObserverUK #comment Nudge theory cannot trump hard science on #lockdown #art  #design #covid19 #coronavirus #virus #pandemic #nudgetheory #government #boris #money #influence #salesman #10downingstreet #dominiccummings #editorial https://t.co/TCMGMpyXiS,DomMckenzie1,1190,London,Dom Mckenzie,DomMckenzie1,,#illustration for this weekend’s @observeruk #comment nudge theory cannot trump hard science on #lockdown #art  #design #covid19 #coronavirus #virus #pandemic #nudgetheory #government #boris #money #influence #salesman #10downingstreet #dominiccummings #editorial https://t.co/tcmgmpyxis,"['nudge', 'nudge theory', 'nudgetheory', 'pandemic', 'corona', 'covid']",['nudge theory']
